"1","munich","fifa world cup stadium, munich"
"4","dortmund","fifa world cup stadium, dortmund"
"11","stuttgart","gottlieb-daimler-stadion"
"12","berlin","olympiastadion"
"5","hamburg","fifa world cup stadium, hamburg"
"10","hanover","fifa world cup stadium, hanover"
"3","frankfurt/main","fifa world cup stadium, frankfurt"
"7","nuremberg","franken-stadion"
"8","cologne","fifa world cup stadium, cologne"
"9","kaiserslautern","fritz-walter-stadion"
"6","leipzig","zentralstadion"
"2","gelsenkirchen","fifa world cup stadium, gelsenkirchen"
