"QUERY","Count(DISTINCT F.TIMEID)"
"world cup soccer",57
"fifa world cup",38
"fifaworldcup.com",35
"soccer world cup",28
"fifaworldcup",25
"fifa world cup 1998",14
"fifa world cup 2006",13
"fifa world cup 2002",11
"worldcupsoccer",11
"2006 fifa world cup panini album",6
"fifaworldcup.yahoo.com",5
"world cup soccer 2006",5
"worldcup soccer 2006 fixtures",5
"world cup soccer schedule",5
"best of world cup soccer",5
"2002 fifa world cup",4
"2006 20 manchester 20united 20 cup 20united 20staes 20 finals",4
"world cup soccer highlights",4
"soccerworldcup.com",4
"last years world cup of soccer",4
"casio fifa world cup watch",4
"fifa world cup.com",4
"world cup socer historia",3
"www.worldcupsoccer",3
"where to buy 2006 fifa world cup panini album",3
"2006 fifa world cup host cities",3
"2006 soccer world cup",3
"world cup soccer on television",3
"world cup fifa",3
"fifa world cup 1998 4th place finish",3
"2006-southtexascupdistfinals",3
"fifa 2006 road to the world cup review",3
"www.worldcupsoccer.com",3
"paninigroup.com 2006fifaworldcup home.asp",2
"fifa world cup germany",2
"www.fifaworlccup.com",2
"fifa world cup 1990",2
"ps2 fifa world cup germany 2006",2
"www.fifaworldcup..com",2
"2006 fifa world cup",2
"2006fifaworldcup.com",2
"italy soccer world cup",2
"portugal soccer world cup",2
"fifa world cup germany 2006",2
"www.fifa world cup 2006.com",2
"worldcupsoccer.org",2
"www.worldcupsoccer2006",2
"soccer worldcup",2
"www.worldcupsoccerpools.com",2
"fifa world cup sticker album",2
"worldcup 2006 soccer",2
"www.fifaworldcup.com",2
"fifa world cup schedule",2
"www.worldcup.fifa.com",2
"adidas 2006 fifa world cup track jackets",2
"www.fifa.worldcup.com",2
"www.fifa world cup.com",2
"worlds women soccer cup 1999",2
"world cup of soccer",2
"http fifa world cup.com",2
"fifa world cup germany 2006 ps2",2
"www.2006 fifaworldcup",2
"fifa world cup germany 2006 sticker album",2
"history of fifa world cup",2
"coke world cup soccer",2
"portugal world cup soccer team",2
"world cup soccer sleeepng bag",2
"www.world cup soccer.com",1
"fifa world cup germany 2006 game",1
"fussball weltmeisterschaft",1
"world cup soccer texas",1
"music world cup soccer 2006",1
"world cup soccer television broadcasts",1
