"URL","THISDOMAIN","CLICKS","URL_RANK","CLICK_PERCENTAGE"
http://fifaworldcup.yahoo.com,yahoo,180,1,48.39
http://www.fifa.com,fifa,13,2,3.49
http://worldsoccer.about.com,about,11,3,2.96
http://www.soccerphile.com,soccerphile,9,4,2.42
http://www.mapsofworld.com,mapsofworld,6,5,1.61
http://www.soccertv.com,soccertv,6,5,1.61
http://www.worldcupsoccer.com,worldcupsoccer,6,5,1.61
http://www.wldcup.com,wldcup,5,6,1.34
http://soccernet.espn.go.com,espn.go,4,7,1.08
http://www.yu4you.com,yu4you,4,7,1.08
http://www.chiff.com,chiff,3,8,0.81
http:// www.factmonster.com,factmonster,3,8,0.81
http://tickets.fifaworldcup.com,fifaworldcup,3,8,0.81
http://espn.go.com,go,3,8,0.81
http://www.msnbc.msn.com,msnbc.msn,3,8,0.81
http://www.muscara.com,muscara,3,8,0.81
http://www.paninigroup.com,paninigroup,3,8,0.81
http://www.worldsoccershop.com,worldsoccershop,3,8,0.81
http://worldcupsoccer.blogstream.com,blogstream,2,9,0.54
http://world.casio.com,casio,2,9,0.54
http://wm2006.deutschland.de,deutschland,2,9,0.54
http://www.easports.com,easports,2,9,0.54
http://wantitnow.ebay.com,ebay,2,9,0.54
http://media.espn.com,espn,2,9,0.54
http://www.gameinfowire.com,gameinfowire,2,9,0.54
http://xbox360.gamezone.com,gamezone,2,9,0.54
http://www.germany-tourism.co.uk,germany-tourism.co,2,9,0.54
http://www.klworldcupfinal.com,klworldcupfinal,2,9,0.54
http://www.mibazaar.com,mibazaar,2,9,0.54
http://www.petitionspot.com,petitionspot,2,9,0.54
http://www.prnewswire.com,prnewswire,2,9,0.54
http://www.soccerhall.org,soccerhall,2,9,0.54
http://www.ussoccer.com,ussoccer,2,9,0.54
http://en.wikipedia.org,wikipedia,2,9,0.54
http://www.worldcupblog.org,worldcupblog,2,9,0.54
http://dir.yahoo.com,yahoo,2,9,0.54
http://www.1800-sports.com,"1800-sports",1,10,0.27
http://www.2collectcola.com,"2collectcola",1,10,0.27
http://proicehockey.about.com,about,1,10,0.27
http://www.amazon.com,amazon,1,10,0.27
http://www.artisticsensations.com,artisticsensations,1,10,0.27
http://www.askmen.com,askmen,1,10,0.27
http://www.avault.com,avault,1,10,0.27
http://www.avsforum.com,avsforum,1,10,0.27
http://news.bbc.co.uk,bbc.co,1,10,0.27
http://www.bigsoccer.com,bigsoccer,1,10,0.27
http://www.bizrate.com,bizrate,1,10,0.27
http://slam.canoe.ca,canoe,1,10,0.27
http://www.citymayors.com,citymayors,1,10,0.27
http://www.cnnsi.com,cnnsi,1,10,0.27
http://www.concacaf.com,concacaf,1,10,0.27
http://media.cube.ign.com,cube.ign,1,10,0.27
http://dmoz.org,dmoz,1,10,0.27
http://www.docsports.com,docsports,1,10,0.27
http://www.drblank.com,drblank,1,10,0.27
http://www.easports2006fifaworldcup.com,easports2006fifaworldcup,1,10,0.27
http://cgi.ebay.com,ebay,1,10,0.27
http://search.ebay.com,ebay,1,10,0.27
http://worldcupsoccer.ebloggy.com,ebloggy,1,10,0.27
http://www.expertfootball.com,expertfootball,1,10,0.27
http://expertfootball.com,expertfootball,1,10,0.27
http://www.fanbase.inuk.com,fanbase.inuk,1,10,0.27
http://www.fazed.net,fazed,1,10,0.27
http://worldcup.football-data.co.uk,football-data.co,1,10,0.27
http://www.gamespot.com,gamespot,1,10,0.27
http://www.gillette.com,gillette,1,10,0.27
http://www.horsesport.org,horsesport,1,10,0.27
http://del.icio.us,icio,1,10,0.27
http://psp.ign.com,ign,1,10,0.27
http://www.info.ea.com,info.ea,1,10,0.27
http://forum.interference.com,interference,1,10,0.27
http://www.kanglaonline.com,kanglaonline,1,10,0.27
http://www.karl.aegee.org,karl.aegee,1,10,0.27
http://www.lacancha.com,lacancha,1,10,0.27
http://sports-memorabilia.listings.ebay.ie,listings.ebay,1,10,0.27
http://www.lysa.net,lysa,1,10,0.27
http://www.mid-countysoccer.org,mid-countysoccer,1,10,0.27
http://www.miniclip.com,miniclip,1,10,0.27
http://www.neoseeker.com,neoseeker,1,10,0.27
http://www.newsonf1.com,newsonf1,1,10,0.27
http://sepp_blatter.newstrove.com,newstrove,1,10,0.27
http://www.nhl.com,nhl,1,10,0.27
http://www.skinbase.org,skinbase,1,10,0.27
http://www.soccer-for-parents.com,soccer-for-parents,1,10,0.27
http://www.soccer.techfocus.org,soccer.techfocus,1,10,0.27
http://www.soccerballworld.com,soccerballworld,1,10,0.27
http://www.soccerbot.com,soccerbot,1,10,0.27
http://forums.soccerfansnetwork.com,soccerfansnetwork,1,10,0.27
http://www.soccertimes.com,soccertimes,1,10,0.27
http://www.soccertravel.com,soccertravel,1,10,0.27
http://www.soccerway.com,soccerway,1,10,0.27
http://www.soft3k.com,soft3k,1,10,0.27
http://www.southafrica.info,southafrica,1,10,0.27
http://www.sporttek.co.uk,sporttek.co,1,10,0.27
http://pespro.stwor.pl,stwor,1,10,0.27
http://www.terra.com,terra,1,10,0.27
http://www.tgpguy.org,tgpguy,1,10,0.27
http://www.tickets.cc,tickets,1,10,0.27
http://www.tqnyc.org,tqnyc,1,10,0.27
http://www.trivia-library.com,trivia-library,1,10,0.27
http://worldcup2006.usembassy.de,usembassy,1,10,0.27
http://www.womensoccer.com,womensoccer,1,10,0.27
http://italy.worldcupblog.org,worldcupblog,1,10,0.27
http://www.worldcuptickets.com,worldcuptickets,1,10,0.27
