"QUERY","COUNTS"
-,970227
google,302390
ebay,126592
yahoo,118891
yahoo.com,88941
mapquest,80495
google.com,72814
myspace.com,71079
myspace,69040
www.yahoo.com,39057
www.google.com,38853
internet,35928
http,27420
my space,26418
www.myspace.com,25713
map quest,25482
weather,25142
ebay.com,23549
american idol,21218
bank of america,20735
pogo,18830
craigslist,18317
hotmail,18186
msn,17540
ask jeeves,16950
adserver.ign.com,16721
hotmail.com,16468
dictionary,16373
mycl.cravelyrics.com,16196
yahoo mail,15540
msn.com,14870
bankofamerica,13822
walmart,13536
mapquest.com,13472
ask.com,13073
tattoo,13068
my space.com,13059
.com,12288
myspace layouts,11937
southwest airlines,11733
white pages,11556
porn,11205
maps,11105
mailbox,11100
sex,10533
home depot,10196
www.google,10128
pogo.com,9770
target,9759
fidelity.com,9731
horoscopes,9381
m,9058
lyrics,8995
match.com,8987
www.ebay.com,8972
yellow pages,8793
travelocity,8544
slingo,8499
www.hotmail.com,8418
lowes,8351
amazon.com,8198
qvc,7521
sears,7442
goggle,7346
games,7311
horoscope,7055
irs,7026
recent,6925
www.,6896
orbitz,6799
yahoo games,6786
cingular,6714
amazon,6698
im help,6698
com,6688
my,6632
free porn,6549
www,6303
wachovia,6293
expedia,6275
profileedit.myspace.com,6233
verizon,6195
runescape,6189
florida lottery,5999
tattoos,5991
ticketmaster,5949
american airlines,5919
best buy,5851
webmd,5808
limewire,5705
www.mapquest.com,5667
g,5635
jobs,5620
kelly blue book,5600
www.myspace,5527
walmart.com,5472
bankofamerica.com,5456
www.msn.com,5348
monster.com,5329
pussy,5212
craigs list,5210
ask,5164
om,5159
weather.com,5139
deal or no deal,5090
yahoomail,5028
lottery,5002
driving directions,5000
ww.myspace.com,4975
mail.myspace.com,4845
mys,4835
nascar,4819
espn,4818
expedia.com,4782
realtor.com,4779
wells fargo,4776
e-bay,4745
y,4721
people search,4718
united airlines,4694
ups,4674
www.bankofamerica.com,4664
facebook,4660
usps,4628
netflix,4570
www google.com,4550
cnn,4547
nick.com,4432
wwe,4353
disney channel.com,4303
xxx,4264
target.com,4258
circuit city,4257
continental airlines,4209
directions,4190
freeones,4156
disney,4156
evo.qksrv.net,4136
yahoo personals,4124
free music downloads,3992
a,3925
prom dresses,3912
jet blue,3906
qvc.com,3902
jokes,3899
www.disneychannel.com,3860
pogo games,3854
cartoon network,3838
bed bath and beyond,3832
map,3816
costco,3783
askjeeves,3783
disney channel,3781
paypal,3779
delta airlines,3743
thehun,3700
zip codes,3666
irs.gov,3663
disneychannel.com,3660
recipes,3643
goo,3640
powerball,3627
https,3622
.comhttp,3586
www.disney channel.com,3575
billing,3574
e,3574
dell,3564
gmail,3561
www.irs.gov,3547
tattoo designs,3543
southwest.com,3538
food network,3535
playboy,3462
song lyrics,3460
screen names,3430
airlines,3421
yahoo finance,3420
http;,3410
american express,3387
ampland,3386
sprint,3383
jetblue,3375
fafsa,3352
aol.com,3351
whitney houston,3335
hsn,3332
movies,3331
espn.com,3330
www yahoo.com,3327
"89.com",3325
wellsfargo.com,3309
verizon wireless,3304
sudoku,3243
baby names,3238
cars,3227
craigslist.com,3196
southwest,3191
google earth,3182
www.ask.com,3179
videos,3175
e bay,3168
music,3166
ads.admonitor.net,3157
aa.com,3149
blackplanet.com,3125
free games,3124
flowers,3120
eharmony,3115
dogpile,3113
ikea,3103
www.capitalone.com,3075
www.pogo.com,3037
web md,3036
ako,3027
jessica alba,3027
shakira,3026
hotels.com,3020
mysapce.com,3007
amtrak,3007
nascar.com,3003
nextel,3000
wwe.com,2994
chat,2989
adam4adam,2976
google com,2973
kmart,2969
paris hilton,2964
h,2962
google search,2958
used cars,2956
mysp,2953
wikipedia,2948
macys,2943
barnes and noble,2923
adultfriendfinder,2908
www myspace.com,2900
w,2875
wellsfargo,2874
chase,2856
myspace com,2816
cheap tickets,2816
jessica simpson,2815
c,2802
b.bluetime.com,2801
chase.com,2799
toyota,2796
manhunt.net,2788
poems,2756
newsgroups,2736
greeting cards,2730
pichunter,2725
porno,2723
orbitz.com,2722
eva longoria,2722
yahoomail.com,2716
www.mysapce.com,2715
homedepot,2713
xnxx,2711
hotels,2699
mime,2698
hairstyles,2695
jcpenney,2680
babies r us,2677
dogs,2677
usbank,2668
cingular.com,2665
wachovia.com,2660
airline tickets,2652
pokemon,2648
ttp,2648
capital one,2645
northwest airlines,2644
toys r us,2644
wwww.myspace.com,2630
travelocity.com,2588
itunes,2587
remax,2574
autotrader,2574
foodnetwork.com,2567
disney.com,2556
sears.com,2541
lotto,2536
yahoo maps,2534
delta,2530
ask jeeves.com,2528
milf,2528
s,2527
ebay motors,2526
overstock.com,2504
www.my space.com,2502
password,2493
hair styles,2489
wamu,2486
buddy list,2483
furniture,2475
craiglist,2469
photobucket,2463
www myspace com,2451
ads.t-kom.com,2450
www.yahoo,2450
delta.com,2445
chris brown,2443
internet explorer,2439
yahoo com,2423
angelina jolie,2422
old navy,2420
monster,2414
cartoonnetwork,2414
poppit,2402
nude girls,2391
cartoonnetwork.com,2390
lost,2385
tmobile,2385
webmaste.drunkenmature.net,2384
imdb,2383
www.nick.com,2381
staples,2381
goggle.com,2379
kohls,2371
fidelity,2368
mega millions,2367
yahoo messenger,2343
www.wellsfargo.com,2335
msnbc,2335
social security,2334
area codes,2330
mhttp,2328
zillow.com,2311
www.mapquest,2309
verizon.com,2309
aol,2303
fedex,2289
priceline.com,2287
b,2284
hgtv,2278
citibank,2274
hsn.com,2274
washington mutual,2267
