"STADIUM","NUMBER_OF_MATCH","NUMBER_OF_GOAL","GOAL_PER_MATCH"
"fifa world cup stadium, hamburg",5,15,3.0
"fifa world cup stadium, munich",6,17,2.83
"fifa world cup stadium, gelsenkirchen",5,13,2.6
zentralstadion,5,11,2.2
gottlieb-daimler-stadion,6,13,2.17
"fifa world cup stadium, dortmund",6,13,2.17
"fifa world cup stadium, hanover",5,10,2.0
franken-stadion,5,9,1.8
"fifa world cup stadium, cologne",5,9,1.8
fritz-walter-stadion,5,7,1.4
olympiastadion,6,8,1.33
"fifa world cup stadium, frankfurt",5,5,1.0
